Chrom	Pos	Region	RCM	Enrichment
1	251	intergenic	1	0
1	501	intergenic	1	0
1	751	intergenic	1	0
1	1001	intergenic	1	0
1	1251	intergenic	1	0
1	1501	intergenic	1	0
1	1751	intergenic	1	0
1	2001	intergenic	1	0
1	2251	intergenic	1	0
1	2501	intergenic	1	0
1	2751	intergenic	1	0
1	3001	intergenic	1	0
1	3251	intergenic	1	0
1	3501	intergenic	1	0
1	3751	intergenic	1	0
1	4001	intergenic	1	0
1	4251	intergenic	1	0
1	4501	intergenic	1	0
1	4751	intergenic	1	0
1	5001	intergenic	1	0
1	5251	intergenic	1	0
1	5501	intergenic	1	0
1	5751	intergenic	1	0
1	6001	intergenic	1	0
1	6251	intergenic	1	0
1	6501	intergenic	1	0
1	6751	intergenic	1	0
1	7001	intergenic	1	0
1	7251	intergenic	1	0
1	7501	intergenic	1	0
1	7751	intergenic	1	0
1	8001	intergenic	1	0
1	8251	intergenic	1	0
1	8501	intergenic	1	0
1	8751	intergenic	1	0
1	9001	intergenic	1	0
1	9251	intergenic	1	0
1	9501	intergenic	1	0
1	9751	intergenic	1	0
1	10001	intergenic	1	0
1	10251	intergenic	1	0
1	10501	intergenic	1	0
1	10751	intergenic	1	0
1	11001	intergenic	1	0
1	11251	intergenic	1	0
1	11501	intergenic	1	0
1	11751	intergenic	1	0
1	12001	intergenic	1	0
1	12251	intergenic	1	0
1	12501	intergenic	1	0
1	12751	intergenic	1	0
1	13001	intergenic	1	0
1	13251	intergenic	1	0
1	13501	intergenic	1	0
1	13751	intergenic	1	0
1	14001	intergenic	1	0
1	14251	intergenic	1	0
1	14501	intergenic	1	0
1	14751	intergenic	1	0
1	15001	intergenic	1	0
1	15251	intergenic	1	0
1	15501	intergenic	1	0
1	15751	intergenic	1	0
1	16001	intergenic	1	0
1	16251	intergenic	1	0
1	16501	intergenic	1	0
1	16751	intergenic	1	0
1	17001	intergenic	1	0
1	17251	intergenic	1	0
1	17501	intergenic	1	0
1	17751	intergenic	1	0
1	18001	intergenic	1	0
1	18251	intergenic	1	0
1	18501	intergenic	1	0
1	18751	intergenic	1	0
1	19001	intergenic	1	0
